 userid |   ddate    | tpos | lengthh 
    478 | 2014-02-10 |   11 |      12
    479 | 2014-02-10 |   19 |      15
    480 | 2014-02-09 |    3 |      14
    481 | 2014-02-13 |   52 |      14
    482 | 2014-02-14 |   45 |      12
    483 | 2014-02-16 |   58 |      13
    484 | 2014-02-10 |   12 |      14
    484 | 2014-02-12 |   35 |      14
    485 | 2014-02-09 |    9 |      16
    486 | 2014-02-09 |    7 |      13
    486 | 2014-02-10 |   20 |      13
    487 | 2014-02-14 |   59 |      17
    488 | 2014-02-16 |   57 |      15
    489 | 2014-02-15 |   64 |      18
    490 | 2014-02-12 |   39 |      15
    490 | 2014-02-16 |   87 |      15
    491 | 2014-02-16 |   56 |      12
    492 | 2014-02-13 |   49 |      13
    493 | 2014-02-17 |   61 |      13
    494 | 2014-02-15 |   65 |      14
    495 | 2014-02-14 |   38 |      12
    496 | 2014-02-11 |   28 |      15
    497 | 2014-02-15 |   50 |      11
    498 | 2014-02-16 |   56 |      14
    499 | 2014-02-09 |    5 |      18
    500 | 2014-02-12 |   28 |      15
    501 | 2014-02-15 |   60 |      16
    502 | 2014-02-10 |   18 |      20
    503 | 2014-02-16 |   64 |      13
    504 | 2014-02-16 |   62 |      13
    505 | 2014-02-10 |   13 |      13
    506 | 2014-02-11 |   24 |      13
    507 | 2014-02-11 |   26 |      15
    507 | 2014-02-17 |   88 |      15
    508 | 2014-02-13 |   45 |      16
    509 | 2014-02-17 |   73 |      14
    510 | 2014-02-09 |    6 |      14
    511 | 2014-02-13 |   46 |      15
    512 | 2014-02-10 |   12 |      12
    513 | 2014-02-12 |   29 |      13
    514 | 2014-02-17 |   87 |      16
    515 | 2014-02-12 |   35 |      19
    516 | 2014-02-17 |   80 |      13
    517 | 2014-02-09 |    7 |      15
    518 | 2014-02-09 |    8 |      12
    519 | 2014-02-14 |   52 |      13
    520 | 2014-02-15 |   56 |      14
    521 | 2014-02-16 |   68 |      18
    522 | 2014-02-15 |   65 |      17
    523 | 2014-02-10 |   18 |      13
    523 | 2014-02-13 |   53 |      13
    524 | 2014-02-08 |    0 |      10
    525 | 2014-02-14 |   48 |      16
    526 | 2014-02-11 |   24 |      13
    526 | 2014-02-13 |   45 |      13
    526 | 2014-02-14 |   58 |      13
    527 | 2014-02-13 |   40 |      16
    528 | 2014-02-09 |    6 |      14
    528 | 2014-02-11 |   31 |      14
    529 | 2014-02-10 |   11 |      14
    529 | 2014-02-12 |   35 |      14
    530 | 2014-02-14 |   49 |      13
    531 | 2014-02-16 |   68 |      17
    532 | 2014-02-16 |   74 |      15
    533 | 2014-02-16 |   62 |      17
    534 | 2014-02-09 |    9 |      14
    534 | 2014-02-17 |   85 |      14
    535 | 2014-02-10 |   12 |      12
    535 | 2014-02-11 |   24 |      12
    536 | 2014-02-10 |   20 |      15
    537 | 2014-02-17 |   68 |      12
    538 | 2014-02-10 |   17 |      14
    538 | 2014-02-11 |   31 |      14
