 userid |   ddate    | tpos | lengthh 
    398 | 2014-02-17 |   84 |      14
    398 | 2014-02-22 |  129 |      14
    399 | 2014-02-15 |   62 |      16
    400 | 2014-02-15 |   59 |      13
    401 | 2014-02-18 |   98 |      15
    401 | 2014-02-26 |  184 |      15
    402 | 2014-02-23 |  152 |      15
    403 | 2014-02-13 |   46 |      14
    403 | 2014-02-27 |  190 |      14
    404 | 2014-02-21 |  106 |      14
    405 | 2014-02-14 |   51 |      14
    405 | 2014-02-10 |   10 |      14
    406 | 2014-02-27 |  186 |      14
    407 | 2014-02-13 |   43 |      18
    408 | 2014-02-27 |  185 |      18
    409 | 2014-02-25 |  146 |      16
    410 | 2014-02-14 |   46 |      19
    411 | 2014-02-21 |  132 |      15
    411 | 2014-02-09 |    7 |      15
    412 | 2014-02-19 |   99 |      18
    413 | 2014-02-09 |    5 |      16
    414 | 2014-02-27 |  169 |      17
    415 | 2014-02-18 |  105 |      18
    416 | 2014-02-12 |   40 |      15
    416 | 2014-02-25 |  184 |      15
    417 | 2014-02-18 |   96 |      14
    417 | 2014-02-16 |   73 |      14
    418 | 2014-02-09 |    5 |      16
    419 | 2014-02-15 |   70 |      16
    420 | 2014-02-19 |  105 |      19
    421 | 2014-02-10 |   13 |      16
    422 | 2014-02-24 |  143 |      16
    423 | 2014-02-26 |  185 |      15
    423 | 2014-02-23 |  151 |      15
    424 | 2014-02-24 |  144 |      15
    425 | 2014-02-25 |  149 |      17
    426 | 2014-02-12 |   32 |      15
    426 | 2014-02-18 |  100 |      15
    426 | 2014-02-09 |    3 |      15
    427 | 2014-02-16 |   63 |      18
    428 | 2014-02-23 |  145 |      17
    429 | 2014-02-21 |  137 |      17
    430 | 2014-02-23 |  147 |      17
    431 | 2014-02-19 |  112 |      19
    432 | 2014-02-20 |   88 |      16
    433 | 2014-02-09 |    5 |      15
    434 | 2014-02-19 |  110 |      16
    435 | 2014-02-12 |   40 |      16
    435 | 2014-02-16 |   80 |      16
    436 | 2014-02-26 |  197 |      19
    437 | 2014-02-17 |   87 |      16
    438 | 2014-02-14 |   45 |      16
    439 | 2014-02-11 |   27 |      15
    440 | 2014-02-15 |   59 |      16
    440 | 2014-02-24 |  149 |      16
    441 | 2014-02-19 |  106 |      15
    442 | 2014-02-11 |   34 |      18
    443 | 2014-02-16 |   77 |      15
    444 | 2014-02-09 |    7 |      13
    444 | 2014-02-27 |  164 |      13
    444 | 2014-02-17 |   86 |      13
    445 | 2014-02-17 |   82 |      15
    445 | 2014-02-20 |  120 |      15
    445 | 2014-02-18 |   97 |      15
    446 | 2014-02-22 |  121 |      19
    447 | 2014-02-23 |  152 |      13
    447 | 2014-02-16 |   82 |      13
    447 | 2014-02-12 |   44 |      13
    448 | 2014-02-27 |  195 |      15
    448 | 2014-02-18 |   94 |      15
    448 | 2014-02-21 |  132 |      15
    449 | 2014-02-19 |  107 |      16
    450 | 2014-02-23 |  136 |      19
    451 | 2014-02-24 |  147 |      14
    451 | 2014-02-15 |   63 |      14
    452 | 2014-02-18 |   85 |      14
    452 | 2014-02-11 |   22 |      14
    453 | 2014-02-15 |   63 |      17
    454 | 2014-02-15 |   92 |      17
    455 | 2014-02-20 |  103 |      14
    456 | 2014-02-10 |   14 |      13
    457 | 2014-02-18 |   90 |      15
    458 | 2014-02-17 |   97 |      16
    459 | 2014-02-24 |  156 |      16
    460 | 2014-02-20 |  120 |      15
    461 | 2014-02-12 |   30 |      16
    462 | 2014-02-13 |   57 |      17
    463 | 2014-02-14 |   49 |      20
    464 | 2014-02-25 |  151 |      18
    465 | 2014-02-12 |   29 |      15
    465 | 2014-02-23 |  127 |      15
    466 | 2014-02-12 |   36 |      15
    467 | 2014-02-24 |  166 |      16
    468 | 2014-02-21 |  113 |      18
    469 | 2014-02-25 |  195 |      17
    470 | 2014-02-12 |   37 |      14
    471 | 2014-02-26 |  177 |      16
    472 | 2014-02-11 |   29 |      18
    473 | 2014-02-10 |   14 |      17
    474 | 2014-02-15 |   64 |      16
    475 | 2014-02-27 |  181 |      16
    476 | 2014-02-13 |   51 |      14
    476 | 2014-02-23 |  152 |      14
    477 | 2014-02-26 |  159 |      15
    478 | 2014-02-24 |  160 |      15
    479 | 2014-02-27 |  186 |      18
    480 | 2014-02-26 |  173 |      17
    481 | 2014-02-16 |   88 |      16
    481 | 2014-02-25 |  186 |      16
    482 | 2014-02-23 |  146 |      16
    483 | 2014-02-24 |  151 |      16
    484 | 2014-02-17 |   78 |      17
    484 | 2014-02-23 |  147 |      17
    485 | 2014-02-09 |    2 |      19
    486 | 2014-02-17 |   86 |      15
    487 | 2014-02-16 |   71 |      17
    488 | 2014-02-16 |   79 |      16
    489 | 2014-02-27 |  193 |      16
    490 | 2014-02-16 |   86 |      17
    491 | 2014-02-10 |   21 |      15
    491 | 2014-02-09 |    6 |      15
    492 | 2014-02-22 |  138 |      15
    492 | 2014-02-25 |  171 |      15
    493 | 2014-02-21 |  116 |      15
    494 | 2014-02-23 |  133 |      15
